test_run,timestamp,adr_latitude_approx_degrees_uut1,adr_longitude_approx_degrees_uut1,adr_height_approx_meters_uut1,adr_UTM11_northing_approx_meters_uut1,adr_UTM11_easting_approx_meters_uut1,raw_psr_lat_degrees_uut1,raw_psr_lon_degrees_uut1,raw_psr_hgt_meters_uut1,raw_psr_UTM11_northing_meters_uut1,raw_psr_UTM11_easting_meters_uut1,rtk_reference_lat_degrees_uut1,rtk_reference_lon_degrees_uut1,rtk_reference_hgt_meters_uut1,rtk_reference_UTM11_northing_meters_uut1,rtk_reference_UTM11_easting_meters_uut1,adr_latitude_approx_degrees_uut2,adr_longitude_approx_degrees_uut2,adr_height_approx_meters_uut2,adr_UTM11_northing_approx_meters_uut2,adr_UTM11_easting_approx_meters_uut2,raw_psr_lat_degrees_uut2,raw_psr_lon_degrees_uut2,raw_psr_hgt_meters_uut2,raw_psr_UTM11_northing_meters_uut2,raw_psr_UTM11_easting_meters_uut2,rtk_reference_lat_degrees_uut2,rtk_reference_lon_degrees_uut2,rtk_reference_hgt_meters_uut2,rtk_reference_UTM11_northing_meters_uut2,rtk_reference_UTM11_easting_meters_uut2,uwb_observed_distance_meters,uwb_observed_relative_azimuth_angle_degrees,uwb_observed_relative_elevation_angle_degrees,uwb_observed_minus_rtk_2d_computed_meters,geometric_rtk_inter_device_2d_distance_meters,adr_minus_rtk_2d_meters_uut1,adr_minus_rtk_3d_meters_uut1,adr_minus_rtk_2d_meters_uut2,adr_minus_rtk_3d_meters_uut2,psr_minus_rtk_2d_meters_uut1,psr_minus_rtk_3d_meters_uut1,psr_minus_rtk_2d_meters_uut2,psr_minus_rtk_3d_meters_uut2,least_squares_UTM11_northing_meters_uut1,least_squares_UTM11_easting_meters_uut1,least_squares_latitude_degrees_uut1,least_squares_longitude_degrees_uut1,error_northing_least_squares_minus_RTK_meters_uut1,error_easting_least_squares_minus_RTK_meters_uut1,absolute_total_2d_error_least_squares_minus_RTK_meters_uut1,least_squares_UTM11_northing_meters_uut2,least_squares_UTM11_easting_meters_uut2,least_squares_latitude_degrees_uut2,least_squares_longitude_degrees_uut2,error_northing_least_squares_minus_RTK_meters_uut2,error_easting_least_squares_minus_RTK_meters_uut2,absolute_total_2d_error_least_squares_minus_RTK_meters_uut2
1,16.08.50,51.081307687262,-114.131895287990,1097.2000,5662780.0535,700884.1857,51.081348579543,-114.131764763109,1115.7000,5662784.9560,700893.1489,51.081311144039,-114.131902742910,1109.8281,5662780.4174,700883.6487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6487,12.6447,0.0,0.0,10.5287,12.0554,0.0,0.0,1022.6059,1170.3704,51.081312073739,-114.131900538870,0.1034,0.1544,0.1859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.08.51,51.081307651356,-114.131906933196,1097.1000,5662780.0177,700883.3704,51.081320323608,-114.131876626126,1099.1000,5662781.5093,700885.4378,51.081311087210,-114.131914247440,1109.8067,5662780.3797,700882.8433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6394,12.7227,0.0,0.0,2.8298,11.0743,0.0,0.0,1022.6018,1169.5544,51.081312037832,-114.131912184078,0.1058,0.1446,0.1791,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.08.52,51.081307641271,-114.131918642294,1097.2000,5662779.9846,700882.5504,51.081317897879,-114.131909640002,1097.7000,5662781.1495,700883.1364,51.081311066818,-114.131926146240,1109.7977,5662780.3450,700882.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6495,12.6145,0.0,0.0,1.3841,12.1767,0.0,0.0,1022.6007,1168.7339,51.081312027747,-114.131923893177,0.1069,0.1579,0.1907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.08.53,51.081307915962,-114.131930675184,1097.1000,5662779.9823,700881.7066,51.081309728884,-114.131981212663,1091.6000,5662780.0459,700878.1597,51.081311388702,-114.131938225730,1109.7820,5662780.3478,700881.1628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6552,12.6989,0.0,0.0,3.0182,18.4308,0.0,0.0,1022.6312,1167.8907,51.081312302437,-114.131935926068,0.1017,0.1611,0.1905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.08.54,51.081307996756,-114.131943155524,1097.1000,5662779.9572,700880.8323,51.081292117928,-114.131933235367,1094.8000,5662778.2190,700881.5958,51.081311434821,-114.131950700260,1109.7826,5662780.3189,700880.2890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6526,12.6994,0.0,0.0,2.4733,15.1854,0.0,0.0,1022.6402,1167.0161,51.081312383231,-114.131948406409,0.1055,0.1607,0.1923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.08.55,51.081307960844,-114.131955889088,1097.1000,5662779.9185,700879.9407,51.081308722727,-114.131975848487,1095.4000,5662779.9487,700878.5397,51.081311324758,-114.131963558020,1109.7523,5662780.2715,700879.3891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6549,12.6692,0.0,0.0,0.9087,14.3810,0.0,0.0,1022.6362,1166.1238,51.081312347318,-114.131961139974,0.1138,0.1694,0.2041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.08.56,51.081307731924,-114.131968795400,1097.1000,5662779.8578,700879.0379,51.081318012614,-114.132002416262,1092.2000,5662780.9090,700876.6389,51.081311181065,-114.131976524890,1109.7298,5662780.2202,700878.4817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6639,12.6472,0.0,0.0,1.9673,17.6398,0.0,0.0,1022.6107,1165.2194,51.081312118398,-114.131974046287,0.1043,0.1737,0.2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.08.57,51.081307496913,-114.131981857048,1097.1000,5662779.7960,700878.1242,51.081308268230,-114.131977922652,1095.4000,5662779.8925,700878.3964,51.081311061395,-114.131989608860,1109.7025,5662780.1711,700877.5659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6726,12.6204,0.0,0.0,0.8760,14.3293,0.0,0.0,1022.5845,1164.3041,51.081311883386,-114.131987107937,0.0915,0.1752,0.1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.08.58,51.081307247644,-114.131994438115,1097.1000,5662779.7340,700877.2443,51.081299235585,-114.131948918846,1103.9000,5662778.9675,700880.4667,51.081310885543,-114.132002162740,1109.6948,5662780.1173,700876.6876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6759,12.6130,0.0,0.0,3.9501,7.0131,0.0,0.0,1022.5567,1163.4225,51.081311634117,-114.131999689005,0.0833,0.1733,0.1923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.08.59,51.081306877134,-114.132006680009,1097.0000,5662779.6594,700876.3886,51.081313332980,-114.132021373582,1095.7000,5662780.3370,700875.3317,51.081310459017,-114.132014365480,1109.6669,5662780.0366,700875.8349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6700,12.6846,0.0,0.0,0.5861,13.9792,0.0,0.0,1022.5155,1162.5646,51.081311263606,-114.132011930900,0.0895,0.1706,0.1927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.09.00,51.081306646274,-114.132016606387,1097.0000,5662779.6066,700875.6945,51.081284045875,-114.132038289865,1098.2000,5662777.0348,700874.2740,51.081310079929,-114.132024300690,1109.6530,5662779.9673,700875.1408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6608,12.6702,0.0,0.0,3.0580,11.8542,0.0,0.0,1022.4898,1161.8690,51.081311032746,-114.132021857279,0.1060,0.1712,0.2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.09.01,51.081306499725,-114.132019536352,1097.0000,5662779.5823,700875.4899,51.081285865708,-114.132029307917,1099.7000,5662777.2616,700874.8951,51.081309929592,-114.132027274420,1109.6595,5662779.9425,700874.9332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6631,12.6769,0.0,0.0,2.6811,10.3141,0.0,0.0,1022.4735,1161.6637,51.081310886196,-114.132024787244,0.1064,0.1743,0.2042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.09.02,51.081306482874,-114.132019683034,1097.0000,5662779.5800,700875.4797,51.081286182394,-114.132048437577,1093.4000,5662777.2446,700873.5541,51.081309962065,-114.132027516290,1109.6525,5662779.9455,700874.9161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6717,12.6703,0.0,0.0,3.0248,16.5315,0.0,0.0,1022.4716,1161.6534,51.081310869345,-114.132024933926,0.1009,0.1810,0.2072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.13.20,51.081306256457,-114.132024951814,1096.1000,5662779.5405,700875.1118,51.081317382725,-114.132015893716,1097.6000,5662780.8022,700875.6979,51.081309735648,-114.132032785070,1109.6478,5662779.9059,700874.5481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.081215030422,-114.132080039550,1109.3296,5662769.2480,700871.6494,0.0,0.0,0.0,0.0,0.0,0.6717,13.5644,0.0,0.0,1.4578,12.1357,0.0,0.0,1022.4464,1161.2842,51.081310642928,-114.132030202706,0.1009,0.1810,0.2072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.13.25,51.081305792575,-114.132029461031,1096.1000,5662779.4766,700874.7980,51.081310703313,-114.132046974040,1093.3000,5662779.9748,700873.5503,51.081309394939,-114.132037330010,1109.6481,5662779.8556,700874.2313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.081215015838,-114.132080094800,1109.3281,5662769.2462,700871.6456,11.0457,28.7652,-5.1744,0.1257,10.9200,0.6817,13.5653,0.0,0.0,0.6914,16.3627,0.0,0.0,1022.3948,1160.9682,51.081310179046,-114.132034711924,0.0872,0.1835,0.2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.13.26,51.081305170871,-114.132036649305,1096.0000,5662779.3879,700874.2973,51.081306760887,-114.132061776675,1097.0000,5662779.4960,700872.5308,51.081308674677,-114.132044168070,1109.6476,5662779.7569,700873.7556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.081215007538,-114.132080075320,1109.3270,5662769.2453,700871.6470,10.8530,23.2329,-8.6674,0.1320,10.7210,0.6555,13.6633,0.0,0.0,1.2523,12.7094,0.0,0.0,1022.3281,1160.4653,51.081309580184,-114.132041889315,0.1007,0.1597,0.1888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.13.27,51.081304883165,-114.132043968115,1096.0000,5662779.3359,700873.7860,51.081278290841,-114.132007347941,1099.8000,5662776.4794,700876.4657,51.081308154689,-114.132051642350,1109.6617,5662779.6787,700873.2344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.081214994730,-114.132080036730,1109.3301,5662769.2440,700871.6497,10.7118,20.4811,-3.1801,0.1575,10.5543,0.6494,13.6772,0.0,0.0,4.5471,10.8596,0.0,0.0,1022.2992,1159.9533,51.081309320683,-114.132049195078,0.1297,0.1715,0.2150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
